"stadtname";"url_stadt";"max_page"
"Potsdam";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Potsdam;;;1276004013;Brandenburg;&geocoordinates=52.39614;13.05854;50.0&pagenumber=";241
"Hamm";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Hamm;;;1276010020;Nordrhein-Westfalen;&geocoordinates=51.66177;7.8362;15.0&pagenumber=";4
"Ludwigshafen am Rhein";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Ludwigshafen%20am%20Rhein;;;1276011019;Rheinland-Pfalz;&geocoordinates=49.48729;8.38664;50.0&pagenumber=";50
"Muelheim an der Ruhr";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Muelheim%20an%20der%20Ruhr;;;1276010035;Nordrhein-Westfalen;&geocoordinates=51.41159;6.88514;50.0&pagenumber=";109
"Oldenburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Oldenburg%20(Oldenburg);;;1276009028;Niedersachsen;&geocoordinates=53.14407;8.22049;50.0&pagenumber=";17
"Osnabrueck";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Osnabrueck;;;1276009030;Niedersachsen;&geocoordinates=52.27744;8.05575;50.0&enteredFrom=one_step_search&pagenumber=";13
"Leverkusen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Leverkusen;;;1276010029;Nordrhein-Westfalen;&geocoordinates=51.0541;7.00817;50.0&pagenumber=";114
"Heidelberg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Heidelberg;;;1276001014;Baden-Wuerttemberg;&geocoordinates=49.40589;8.68357;50.0&pagenumber=";54
"Darmstadt";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Darmstadt;;;1276007002;Hessen;&geocoordinates=49.87437;8.65492;50.0&pagenumber=";101
"Solingen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Solingen;;;1276010048;Nordrhein-Westfalen;&geocoordinates=51.16592;7.06235;50.0&enteredFrom=one_step_search&pagenumber=";127
"Herne";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Herne;;;1276010023;Nordrhein-Westfalen;&geocoordinates=51.53805;7.20959;50.0&pagenumber=";92
"Neuss";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Neuss%20(Rhein-Kreis);;;1276010037007;;Neuss&geocoordinates=51.19843;6.69529;50.0&pagenumber=";112
"Regensburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Regensburg;;;1276002073;Bayern;&geocoordinates=49.02168;12.11081;50.0&pagenumber=";9
"Paderborn";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Paderborn%20(Kreis);;;1276010041008;;Paderborn&geocoordinates=51.71525;8.75213;50.0&pagenumber=";14
"Ingolstadt";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Ingolstadt;;;1276002042;Bayern;&geocoordinates=48.75359;11.37914;50.0&pagenumber=";10
"Fuerth";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Fuerth;;;1276002035;Bayern;&geocoordinates=49.48889;10.96049;50.0&pagenumber=";22
"Wuerzburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Wuerzburg;;;1276002094;Bayern;&geocoordinates=49.77812;9.94295;50.0&pagenumber=";4
"Ulm";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Ulm;;;1276001042;Baden-Wuerttemberg;&geocoordinates=48.38753;9.94283;50.0&pagenumber=";20
"Heilbronn";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Heilbronn;;;1276001016;Baden-Wuerttemberg;&geocoordinates=49.15148;9.17345;50.0&pagenumber=";74
"Pforzheim";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Pforzheim;;;1276001029;Baden-Wuerttemberg;&geocoordinates=48.87423;8.71633;50.0&pagenumber=";83
"Wolfsburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Wolfsburg;;;1276009047;Niedersachsen;&geocoordinates=52.40585;10.77665;50.0&pagenumber=";16
"Goettingen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Goettingen%20(Kreis);;;1276009015012;;Goettingen&geocoordinates=51.53261;9.92844;50.0&pagenumber=";8
"Reutlingen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Reutlingen%20(Kreis);;;1276001033018;;Reutlingen&geocoordinates=48.49089;9.20585;50.0&pagenumber=";67
"Koblenz";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Koblenz;;;1276011016;Rheinland-Pfalz;&geocoordinates=50.34683;7.59039;50.0&pagenumber=";15
"Trier";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Trier;;;1276011032;Rheinland-Pfalz;&geocoordinates=49.77718;6.6489;50.0&pagenumber=";7
